aces_ratio_p2,set5_games_p1,set5_games_p2,double_faults_p1,double_faults_p2,set4_games_p2,set4_games_p1,first_serve_percent_p1,first_serve_percent_p2,aces_ratio_p1,second_serve_points_won_dividend_p1,first_serve_points_won_divisor_p1,first_serve_points_won_divisor_p2,second_serve_points_won_dividend_p2,duration,first_serve_percent_points_won_p2,first_serve_divisor_p2,match_date,first_serve_divisor_p1,first_serve_percent_points_won_p1,first_serve_dividend_p1,first_serve_dividend_p2,first_serve_points_won_dividend_p2,first_serve_points_won_dividend_p1,tournament,aces_p1,aces_p2,second_serve_points_won_divisor_p1,double_fouls_p1,double_fouls_p2,winner_name,second_serve_points_won_divisor_p2,second_serve_percent_points_won_p2,second_serve_percent_points_won_p1,p2,p1,set1_games_p1,set2_games_p1,set2_games_p2,sets_duration,set1_games_p2,set3_games_p2,set3_games_p1,round
0.0,,,1,2,,,66,58,100.0,11,23,32,13,00:54:00,44,55,,35,74,23,32,14,17,Apia International Sydney,4,0,12,,,L. Kubot,23,57,92,B. Fong,L. Kubot,6,6,2,2,1,,,1st Round Qualifying
46.666666666666664,,,3,1,,,57,62,53.333333333333336,15,33,36,6,01:05:00,86,58,,58,85,33,36,31,28,Apia International Sydney,8,7,25,,,A. Sarkissian,22,27,60,E. Gulbis,A. Sarkissian,6,7,5,2,3,,,1st Round Qualifying
30.0,,,6,5,,,68,65,70.0,12,71,65,18,01:57:00,63,100,,104,69,71,65,41,49,Apia International Sydney,7,3,33,,,M. Marterer,35,51,36,D. Dzumhur,M. Marterer,7,1,6,3,5,6,7,1st Round Qualifying
50.0,,,4,2,,,61,51,50.0,15,46,44,21,01:45:00,70,86,,76,76,46,44,31,35,Australian Open,6,6,30,,,J. Zopp,42,50,50,S. Devvarman,J. Zopp,2,6,1,3,6,4,6,1st Round Qualifying
18.181818181818183,,,5,1,,,60,63,81.81818181818183,15,36,39,10,01:05:00,62,62,,60,72,36,39,24,26,BNP Paribas Masters,9,2,24,,,J. Struff,23,43,63,M. Chiudinelli,J. Struff,7,6,2,2,5,,,1st Round Qualifying
0.0,,,2,4,,,53,52,100.0,13,23,22,7,00:45:00,45,42,,43,78,23,22,10,18,Apia International Sydney,5,0,20,,,D. Lajovic,20,35,65,M. Elrich,D. Lajovic,6,6,1,2,2,,,1st Round Qualifying
62.5,,,4,1,,,55,64,37.5,16,36,51,14,01:36:00,55,80,,66,75,36,51,28,27,Australian Open,3,5,30,,,D. Wu,29,48,53,T. Chen,D. Wu,6,7,5,2,2,,,1st Round Qualifying
20.0,,,2,4,,,59,63,80.0,13,27,31,6,00:57:00,61,49,,46,78,27,31,19,21,Australian Open,4,1,19,,,M. Zverev,18,33,68,A. Arnaboldi,M. Zverev,6,6,2,2,2,,,1st Round Qualifying
36.0,,,9,3,,,57,64,64.0,17,52,50,13,01:48:00,66,78,,91,71,52,50,33,37,Australian Open,16,9,39,,,J. Ward,28,46,44,P. Polansky,J. Ward,7,6,4,2,6,,,1st Round Qualifying
58.82352941176471,,,3,5,,,62,61,41.17647058823529,21,56,57,17,02:00:00,79,94,,91,75,56,57,45,42,Australian Open,7,10,35,,,A. Weintraub,37,46,60,L. Saville,A. Weintraub,4,6,3,3,6,4,6,1st Round Qualifying
63.63636363636363,,,0,2,,,63,57,36.36363636363637,12,35,41,13,01:19:00,80,72,,56,83,35,41,33,29,Australian Open,4,7,21,,,M. Trungelliti,31,42,57,D. Popko,M. Trungelliti,6,6,4,2,4,,,1st Round Qualifying
65.21739130434783,,,3,4,,,64,51,34.78260869565217,15,56,46,21,02:36:00,78,91,,88,77,56,46,36,43,Australian Open,8,15,32,,,R. Stepanek,45,47,47,J. Satral,R. Stepanek,6,3,6,3,2,4,6,1st Round Qualifying
12.5,,,5,7,,,62,68,87.5,6,26,30,3,00:40:00,47,44,,42,96,26,30,14,25,ASB Classic,7,1,16,,,C. Norrie,14,21,38,C. Woo,C. Norrie,6,6,2,2,1,,,1st Round Qualifying
0.0,,,2,3,,,54,66,100.0,14,26,37,8,00:58:00,54,56,,48,81,26,37,20,21,ASB Classic,4,0,22,,,M. Pavic,19,42,64,J. Cabal,M. Pavic,6,6,4,2,2,,,1st Round Qualifying
80.0,,,3,6,,,66,56,20.0,23,73,58,21,02:14:00,79,103,,111,70,73,58,46,51,Erste Bank Open 500,4,16,38,,,R. Albot,45,47,61,M. Willis,R. Albot,6,6,7,3,3,4,6,1st Round Qualifying
66.66666666666666,,,2,7,,,79,60,33.33333333333333,6,33,26,3,00:42:00,62,43,,42,82,33,26,16,27,ASB Classic,2,4,9,,,D. Lee,17,18,67,R. Farah,D. Lee,6,6,2,2,1,,,1st Round Qualifying
33.33333333333333,,,3,1,,,51,60,66.66666666666666,16,28,44,13,01:16:00,64,73,,55,79,28,44,28,22,Erste Bank Open 500,4,2,27,,,A. Pavlasek,29,45,59,L. Giustino,A. Pavlasek,6,6,3,2,4,,,1st Round Qualifying
